code,role
708544,{"id":1529,"name":"708544_njoro_nakuru"}
702281,{"id":1534,"name":"702281_kibra_nairobi"}
702020,{"id":1539,"name":"702020_dagorettinorth_nairobi"}
702146,{"id":1548,"name":"702146_dagorettisouth_nairobi"}
601078,{"id":1553,"name":"601078_nandihills_nandi"}
707095,{"id":1558,"name":"707095_luanda_vihiga"}
601675,{"id":1563,"name":"601675_langata_nairobi"}
601185,{"id":1568,"name":"601185_tinderet_nandi"}
711306,{"id":1573,"name":"711306_mosop_nandi"}
700759,{"id":1578,"name":"700759_navakholo_kakamega"}
700449,{"id":1583,"name":"700449_lungalunga_kwale"}
708849,{"id":1592,"name":"708849_mathare_nairobi"}
701072,{"id":1597,"name":"701072_mwinginorth_kitui"}
600688,{"id":1602,"name":"600688_shinyalu_kakamega"}
600169,{"id":1607,"name":"600169_subanorth_homabay"}
700837,{"id":1612,"name":"700837_mumiaswest_kakamega"}
700348,{"id":2943,"name":"700348_homabaytown_homabay"}
600061,{"id":1621,"name":"600061_gem_siaya"}
700520,{"id":1626,"name":"700520_shinyalu_kakamega"}
600487,{"id":1631,"name":"600487_ugunja_siaya"}
601018,{"id":1636,"name":"601018_molo_nakuru"}
601089,{"id":1641,"name":"601089_chesumei_nandi"}
701805,{"id":1647,"name":"701805_makadara_nairobi"}
601584,{"id":1652,"name":"601584_tetu_nyeri"}
600506,{"id":1657,"name":"600506_ugenya_siaya"}
701615,{"id":1661,"name":"701615_nyatike_migori"}
708618,{"id":1666,"name":"708618_kibra_nairobi"}
708758,{"id":1671,"name":"708758_embakasisouth_nairobi"}
708980,{"id":2622,"name":"708980_embakasieast_nairobi"}
700871,{"id":2627,"name":"700871_likuyani_kakamega"}
602557,{"id":2632,"name":"602557_navakholo_kakamega"}
708889,{"id":2639,"name":"708889_kamukunji_nairobi"}
701197,{"id":2644,"name":"701197_kituisouth_kitui"}
601608,{"id":2649,"name":"601608_kibra_nairobi"}
708761,{"id":2653,"name":"708761_kibra_nairobi"}
700368,{"id":2658,"name":"700368_mathiraeast_nyeri"}
601137,{"id":2663,"name":"601137_njoro_nakuru"}
701173,{"id":2668,"name":"701173_kituisouth_kitui"}
601055,{"id":2672,"name":"601055_nakurunorth_nakuru"}
600507,{"id":2677,"name":"600507_ugunja_siaya"}
702064,{"id":2682,"name":"702064_westlands_nairobi"}
708869,{"id":2687,"name":"708869_kasarani_nairobi"}
701636,{"id":2692,"name":"701636_nyatike_migori"}
712641,{"id":2697,"name":"712641_naivasha_nakuru"}
709219,{"id":2948,"name":"709219_kilifisouth_kilifi"}
600400,{"id":2706,"name":"600400_rarieda_siaya"}
701973,{"id":2711,"name":"701973_embakasinorth_nairobi"}
708675,{"id":2714,"name":"708675_makadara_nairobi"}
709234,{"id":2719,"name":"709234_molo_nakuru"}
708823,{"id":2724,"name":"708823_embakasinorth_nairobi"}
711303,{"id":2729,"name":"711303_mosop_nandi"}
701167,{"id":2738,"name":"701167_kituisouth_kitui"}
711376,{"id":2742,"name":"711376_chesumei_nandi"}
700398,{"id":2750,"name":"700398_malava_kakamega"}
709397,{"id":2754,"name":"709397_ganze_kilifi"}
710121,{"id":2759,"name":"710121_tinderet_nandi"}
700790,{"id":2763,"name":"700790_matungu_kakamega"}
700826,{"id":2768,"name":"700826_butere_kakamega"}
702011,{"id":2773,"name":"702011_embakasinorth_nairobi"}
600682,{"id":2778,"name":"600682_navakholo_kakamega"}
701021,{"id":2783,"name":"701021_kuresoisouth_nakuru"}
703154,{"id":2788,"name":"703154_subasouth_homabay"}
702562,{"id":2792,"name":"702562_ganze_kilifi"}
703450,{"id":2797,"name":"703450_mathirawest_nyeri"}
708835,{"id":2801,"name":"708835_westlands_nairobi"}
703923,{"id":2805,"name":"703923_bureti_kericho"}
701999,{"id":2810,"name":"701999_kamukunji_nairobi"}
708836,{"id":2815,"name":"708836_kibra_nairobi"}
701137,{"id":2820,"name":"701137_kuresoinorth_nakuru"}
708558,{"id":2825,"name":"708558_soinsigowet_kericho"}
600734,{"id":2830,"name":"600734_khwisero_kakamega"}
708825,{"id":2836,"name":"708825_embakasiwest_nairobi"}
709292,{"id":2844,"name":"709292_nyatike_migori"}
708495,{"id":2849,"name":"708495_rongai_nakuru"}
600224,{"id":2854,"name":"600224_ndhiwa_homabay"}
702188,{"id":2858,"name":"702188_starehe_nairobi"}
700499,{"id":2863,"name":"700499_shinyalu_kakamega"}
709218,{"id":2868,"name":"709218_kilifisouth_kilifi"}
701098,{"id":2876,"name":"701098_mwinginorth_kitui"}
711710,{"id":2880,"name":"711710_nakurunorth_nakuru"}
701979,{"id":2885,"name":"701979_makadara_nairobi"}
700362,{"id":2890,"name":"700362_mathiraeast_nyeri"}
700981,{"id":2894,"name":"700981_mumiaseast_kakamega"}
712202,{"id":2899,"name":"712202_njoro_nakuru"}
704450,{"id":2904,"name":"704450_soinsigowet_kericho"}
700088,{"id":2909,"name":"700088_kuriaeast_migori"}
709499,{"id":2914,"name":"709499_subukia_nakuru"}
701777,{"id":2918,"name":"701777_tetu_nyeri"}
701074,{"id":2922,"name":"701074_mwinginorth_kitui"}
600356,{"id":2926,"name":"600356_rachuonyonorth_homabay"}
701381,{"id":270,"name":"701381_magarini_kilifi"}
709924,{"id":275,"name":"709924_rongai_nakuru"}
700163,{"id":280,"name":"700163_awendo_migori"}
702005,{"id":285,"name":"702005_embakasinorth_nairobi"}
600314,{"id":290,"name":"600314_nyatike_migori"}
602012,{"id":295,"name":"602012_mwingicentral_kitui"}
711389,{"id":300,"name":"711389_chesumei_nandi"}
601048,{"id":305,"name":"601048_nakurueast_nakuru"}
600239,{"id":310,"name":"600239_ndhiwa_homabay"}
701959,{"id":312,"name":"701959_westlands_nairobi"}
711287,{"id":314,"name":"711287_ainamoi_kericho"}
600714,{"id":319,"name":"600714_ikolomani_kakamega"}
705807,{"id":324,"name":"705807_belgut_kericho"}
709028,{"id":329,"name":"709028_langata_nairobi"}
600415,{"id":334,"name":"600415_rarieda_siaya"}
602553,{"id":1368,"name":"602553_lugari_kakamega"}
601139,{"id":1373,"name":"601139_njoro_nakuru"}
707104,{"id":1378,"name":"707104_luanda_vihiga"}
703081,{"id":1382,"name":"703081_homabaytown_homabay"}
702967,{"id":1387,"name":"702967_rangwe_homabay"}
708640,{"id":1392,"name":"708640_ruaraka_nairobi"}
700970,{"id":1397,"name":"700970_mumiaseast_kakamega"}
601759,{"id":1402,"name":"601759_kaloleni_kilifi"}
711313,{"id":1407,"name":"711313_mosop_nandi"}
709295,{"id":1412,"name":"709295_nyatike_migori"}
705618,{"id":1417,"name":"705618_manyatta_embu"}
709762,{"id":1422,"name":"709762_mbeerenorth_embu"}
600878,{"id":1427,"name":"600878_gilgil_nakuru"}
600240,{"id":1432,"name":"600240_ndhiwa_homabay"}
708788,{"id":1437,"name":"708788_kamukunji_nairobi"}
701940,{"id":1439,"name":"701940_dagorettinorth_nairobi"}
702010,{"id":1444,"name":"702010_kamukunji_nairobi"}
600884,{"id":1449,"name":"600884_gilgil_nakuru"}
708824,{"id":1454,"name":"708824_embakasieast_nairobi"}
703454,{"id":1459,"name":"703454_mathirawest_nyeri"}
711993,{"id":1468,"name":"711993_kituisouth_kitui"}
703458,{"id":1473,"name":"703458_mathirawest_nyeri"}
600336,{"id":1478,"name":"600336_rachuonyonorth_homabay"}
707106,{"id":1483,"name":"707106_luanda_vihiga"}
602179,{"id":1488,"name":"602179_kuresoinorth_nakuru"}
702066,{"id":1493,"name":"702066_ruaraka_nairobi"}
708665,{"id":1498,"name":"708665_embakasisouth_nairobi"}
709386,{"id":1503,"name":"709386_kaloleni_kilifi"}
602683,{"id":1508,"name":"602683_matungu_kakamega"}
711297,{"id":1513,"name":"711297_mosop_nandi"}
601672,{"id":1515,"name":"601672_kibra_nairobi"}
702173,{"id":1520,"name":"702173_starehe_nairobi"}
702074,{"id":1525,"name":"702074_mathare_nairobi"}
701723,{"id":1530,"name":"701723_mbeerenorth_embu"}
712879,{"id":1535,"name":"712879_ainamoi_kericho"}
709265,{"id":1540,"name":"709265_sunawest_migori"}
600235,{"id":1544,"name":"600235_ndhiwa_homabay"}
709742,{"id":1549,"name":"709742_lungalunga_kwale"}
702040,{"id":1554,"name":"702040_kamukunji_nairobi"}
600499,{"id":1559,"name":"600499_ugunja_siaya"}
601487,{"id":1564,"name":"601487_mukurwe-ini_nyeri"}
700828,{"id":1569,"name":"700828_butere_kakamega"}
709463,{"id":1574,"name":"709463_ganze_kilifi"}
708826,{"id":1579,"name":"708826_embakasiwest_nairobi"}
707138,{"id":1584,"name":"707138_luanda_vihiga"}
700891,{"id":1588,"name":"700891_lurambi_kakamega"}
702174,{"id":1593,"name":"702174_langata_nairobi"}
600221,{"id":1598,"name":"600221_ndhiwa_homabay"}
708742,{"id":1603,"name":"708742_ruaraka_nairobi"}
700109,{"id":1608,"name":"700109_kuriaeast_migori"}
709498,{"id":1613,"name":"709498_subukia_nakuru"}
600615,{"id":1622,"name":"600615_butere_kakamega"}
602774,{"id":1627,"name":"602774_lurambi_kakamega"}
701781,{"id":1632,"name":"701781_tetu_nyeri"}
700281,{"id":1637,"name":"700281_tetu_nyeri"}
708713,{"id":1642,"name":"708713_westlands_nairobi"}
602620,{"id":1645,"name":"602620_rarieda_siaya"}
701635,{"id":1651,"name":"701635_nyatike_migori"}
601066,{"id":1656,"name":"601066_nandihills_nandi"}
700113,{"id":1660,"name":"700113_rarieda_siaya"}
710316,{"id":1665,"name":"710316_mathiraeast_nyeri"}
702215,{"id":1670,"name":"702215_kibra_nairobi"}
701937,{"id":2935,"name":"701937_embakasicentral_nairobi"}
709248,{"id":2623,"name":"709248_kaloleni_kilifi"}
709282,{"id":2628,"name":"709282_kuriaeast_migori"}
705809,{"id":2633,"name":"705809_belgut_kericho"}
709415,{"id":2640,"name":"709415_ganze_kilifi"}
700021,{"id":2650,"name":"700021_mwingicentral_kitui"}
700945,{"id":2654,"name":"700945_lurambi_kakamega"}
703437,{"id":2659,"name":"703437_mathirawest_nyeri"}
600222,{"id":2664,"name":"600222_ndhiwa_homabay"}
700967,{"id":2669,"name":"700967_mumiaseast_kakamega"}
703952,{"id":2673,"name":"703952_bureti_kericho"}
600172,{"id":2678,"name":"600172_subanorth_homabay"}
712784,{"id":2683,"name":"712784_njoro_nakuru"}
708715,{"id":2688,"name":"708715_ruaraka_nairobi"}
708876,{"id":2693,"name":"708876_kibra_nairobi"}
601755,{"id":2698,"name":"601755_kaloleni_kilifi"}
711209,{"id":2707,"name":"711209_emgwen_nandi"}
708670,{"id":2939,"name":"708670_makadara_nairobi"}
702368,{"id":2715,"name":"702368_kipkelioneast_kericho"}
600385,{"id":2720,"name":"600385_malava_kakamega"}
703494,{"id":2725,"name":"703494_nakurueast_nakuru"}
700853,{"id":2730,"name":"700853_mumiaswest_kakamega"}
602448,{"id":2734,"name":"602448_embakasinorth_nairobi"}
701766,{"id":2739,"name":"701766_mathirawest_nyeri"}
601586,{"id":2743,"name":"601586_tetu_nyeri"}
700282,{"id":2747,"name":"700282_tetu_nyeri"}
708741,{"id":2751,"name":"708741_embakasieast_nairobi"}
701881,{"id":2755,"name":"701881_embakasicentral_nairobi"}
711936,{"id":2760,"name":"711936_aldai_nandi"}
707093,{"id":2764,"name":"707093_luanda_vihiga"}
710251,{"id":2769,"name":"710251_nandihills_nandi"}
701822,{"id":2774,"name":"701822_rarieda_siaya"}
702097,{"id":2779,"name":"702097_starehe_nairobi"}
710245,{"id":2784,"name":"710245_nandihills_nandi"}
709483,{"id":2789,"name":"709483_ganze_kilifi"}
600062,{"id":2793,"name":"600062_gem_siaya"}
600488,{"id":2798,"name":"600488_ugunja_siaya"}
601746,{"id":2802,"name":"601746_kaloleni_kilifi"}
701779,{"id":2806,"name":"701779_tetu_nyeri"}
711114,{"id":2811,"name":"711114_rachuonyosouth_homabay"}
601085,{"id":2816,"name":"601085_chesumei_nandi"}
700651,{"id":2821,"name":"700651_lugari_kakamega"}
701301,{"id":2826,"name":"701301_embakasisouth_nairobi"}
703137,{"id":2835,"name":"703137_rachuonyosouth_homabay"}
708498,{"id":2944,"name":"708498_nakurueast_nakuru"}
708617,{"id":2843,"name":"708617_langata_nairobi"}
602972,{"id":2848,"name":"602972_langata_nairobi"}
709670,{"id":2853,"name":"709670_kilifinorth_kilifi"}
600518,{"id":2857,"name":"600518_ugunja_siaya"}
707113,{"id":2862,"name":"707113_luanda_vihiga"}
602586,{"id":2867,"name":"602586_nakurueast_nakuru"}
701826,{"id":2949,"name":"701826_gem_siaya"}
601935,{"id":2884,"name":"601935_manyatta_embu"}
712208,{"id":2889,"name":"712208_njoro_nakuru"}
702354,{"id":2898,"name":"702354_kipkelioneast_kericho"}
701638,{"id":2903,"name":"701638_nyatike_migori"}
708635,{"id":2908,"name":"708635_embakasinorth_nairobi"}
601624,{"id":2913,"name":"601624_embakasisouth_nairobi"}
710013,{"id":2917,"name":"710013_aldai_nandi"}
601858,{"id":271,"name":"601858_lungalunga_kwale"}
709611,{"id":276,"name":"709611_kilifinorth_kilifi"}
701935,{"id":281,"name":"701935_langata_nairobi"}
701303,{"id":286,"name":"701303_embakasisouth_nairobi"}
600510,{"id":291,"name":"600510_ugenya_siaya"}
700283,{"id":296,"name":"700283_tetu_nyeri"}
700406,{"id":301,"name":"700406_malava_kakamega"}
601183,{"id":306,"name":"601183_tinderet_nandi"}
600478,{"id":1369,"name":"600478_ugenya_siaya"}
602766,{"id":1374,"name":"602766_lurambi_kakamega"}
700508,{"id":315,"name":"700508_shinyalu_kakamega"}
709418,{"id":320,"name":"709418_ganze_kilifi"}
601145,{"id":325,"name":"601145_njoro_nakuru"}
702233,{"id":330,"name":"702233_embakasiwest_nairobi"}
601097,{"id":335,"name":"601097_aldai_nandi"}
700361,{"id":2936,"name":"700361_mathiraeast_nyeri"}
708149,{"id":1383,"name":"708149_rongai_nakuru"}
701637,{"id":1388,"name":"701637_nyatike_migori"}
600048,{"id":1393,"name":"600048_gem_siaya"}
709625,{"id":1398,"name":"709625_kilifinorth_kilifi"}
702363,{"id":1403,"name":"702363_kipkelioneast_kericho"}
600056,{"id":1408,"name":"600056_gem_siaya"}
601710,{"id":1413,"name":"601710_roysambu_nairobi"}
701753,{"id":1418,"name":"701753_mathiraeast_nyeri"}
600677,{"id":1423,"name":"600677_navakholo_kakamega"}
700631,{"id":1428,"name":"700631_lugari_kakamega"}
711205,{"id":1433,"name":"711205_emgwen_nandi"}
709256,{"id":1438,"name":"709256_sunawest_migori"}
602555,{"id":1440,"name":"602555_lugari_kakamega"}
702556,{"id":1445,"name":"702556_emgwen_nandi"}
708719,{"id":1450,"name":"708719_kasarani_nairobi"}
708490,{"id":1455,"name":"708490_rongai_nakuru"}
708722,{"id":1460,"name":"708722_kasarani_nairobi"}
709482,{"id":1464,"name":"709482_ganze_kilifi"}
701077,{"id":1469,"name":"701077_mwinginorth_kitui"}
701943,{"id":1474,"name":"701943_embakasicentral_nairobi"}
600473,{"id":1479,"name":"600473_ugunja_siaya"}
600720,{"id":1484,"name":"600720_ikolomani_kakamega"}
703929,{"id":1489,"name":"703929_bureti_kericho"}
704672,{"id":1494,"name":"704672_bureti_kericho"}
600164,{"id":1499,"name":"600164_subanorth_homabay"}
702246,{"id":1504,"name":"702246_westlands_nairobi"}
700888,{"id":1509,"name":"700888_mumiaswest_kakamega"}
708749,{"id":1516,"name":"708749_kibra_nairobi"}
